timestamp,altitude(m),battery(%),lat,lon,mode
1747402745.2025251,19.717,100,-35.3627532,149.1651467,AUTO
1747402745.7030692,20.059,100,-35.3627463,149.1651393,AUTO
1747402746.2039385,20.454,100,-35.3627462,149.1651287,AUTO
1747402746.7045832,20.961,100,-35.3627524,149.1651134,AUTO
1747402747.2052312,21.608,100,-35.3627636,149.1650935,AUTO
1747402747.7058249,22.385,100,-35.3627781,149.1650699,AUTO
1747402748.206755,23.253,100,-35.3627939,149.165044,AUTO
1747402748.7075505,24.169,100,-35.3628104,149.1650166,AUTO
1747402749.208191,25.094,100,-35.3628272,149.1649888,AUTO
1747402749.7087443,26.014,100,-35.3628441,149.164961,AUTO
1747402750.2093635,26.904,100,-35.3628608,149.1649341,AUTO
1747402750.7096927,27.739,100,-35.3628766,149.1649088,AUTO
1747402751.2099645,28.475,100,-35.3628907,149.1648864,AUTO
1747402751.710611,29.074,100,-35.3629024,149.1648678,AUTO
1747402752.2112522,29.502,100,-35.3629109,149.1648542,AUTO
1747402752.7119281,29.764,100,-35.3629163,149.1648456,AUTO
1747402753.2127106,29.898,100,-35.3629192,149.1648411,AUTO
1747402753.7133281,29.955,100,-35.3629204,149.1648393,AUTO
1747402754.2135084,29.969,100,-35.3629207,149.1648391,AUTO
1747402754.7141244,29.969,100,-35.3629208,149.1648392,AUTO
1747402755.2147298,29.968,100,-35.3629211,149.1648393,AUTO
1747402755.7155163,29.957,100,-35.3629214,149.1648392,AUTO
1747402756.2160304,29.951,100,-35.3629217,149.1648392,AUTO
1747402756.7167726,29.951,100,-35.3629226,149.1648399,AUTO
1747402757.217324,29.947,100,-35.3629247,149.1648424,AUTO
1747402757.7181988,29.944,100,-35.3629286,149.1648471,AUTO
1747402758.2189987,29.936,100,-35.3629394,149.1648602,AUTO
1747402758.719588,29.933,100,-35.3629447,149.1648666,AUTO
1747402759.2202294,29.927,100,-35.3629582,149.1648826,AUTO
1747402759.7208552,29.926,100,-35.3629754,149.164903,AUTO
1747402760.2215846,29.934,100,-35.362996,149.1649272,AUTO
1747402760.7223122,29.949,100,-35.3630193,149.1649544,AUTO
1747402761.2233183,29.97,100,-35.3630576,149.1649989,AUTO
1747402761.7239635,29.976,100,-35.3630711,149.1650145,AUTO
1747402762.2245035,29.985,100,-35.3630981,149.1650457,AUTO
1747402762.724774,29.983,100,-35.3631251,149.1650769,AUTO
1747402763.225384,29.983,100,-35.3631515,149.1651075,AUTO
1747402763.7260768,29.987,100,-35.3631882,149.16515,AUTO
1747402764.2269812,29.984,100,-35.3632096,149.1651748,AUTO
1747402764.7280235,29.981,100,-35.3632192,149.1651858,AUTO
1747402765.228663,29.961,100,-35.3632414,149.1652117,AUTO
1747402765.7293262,29.952,100,-35.3632467,149.1652179,AUTO
1747402766.2304394,29.929,100,-35.3632569,149.1652302,AUTO
1747402766.7311363,29.924,100,-35.3632601,149.1652341,AUTO
1747402767.231959,29.928,100,-35.3632614,149.165236,AUTO
1747402767.7325563,29.936,100,-35.3632618,149.1652366,AUTO
1747402768.2332063,29.943,100,-35.3632618,149.1652368,AUTO
1747402768.7337964,29.949,100,-35.363262,149.1652371,AUTO
1747402769.2343647,29.953,100,-35.3632623,149.1652375,AUTO
1747402769.7349563,29.956,100,-35.3632625,149.1652377,AUTO
1747402770.2354326,29.957,100,-35.3632626,149.1652378,AUTO
1747402770.7360413,29.957,100,-35.3632626,149.1652378,AUTO
1747402771.236662,29.957,100,-35.3632626,149.1652379,AUTO
1747402771.7373147,29.957,100,-35.3632625,149.1652378,AUTO
1747402772.237919,29.957,100,-35.3632625,149.1652377,AUTO
1747402772.7385166,29.957,100,-35.3632625,149.1652377,AUTO
1747402773.2391114,29.957,100,-35.3632625,149.1652377,AUTO
1747402773.7396193,29.888,100,-35.3632625,149.1652376,AUTO
